restaurant_name,restaurant_location,day_of_the_week,dish_name,preparation_time
Shake Shack,"(40.6437718, -74.0758827)",Weekend,French Fries,16
Shake Shack,"(40.6437718, -74.0758827)",Weekend,Barbecue Ribs,19
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,French Fries,15
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Hot Dogs,12
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Chow Mein,18
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Sweet and Sour Pork Fillet,12
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Lasagna,20
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Arancini,13
Shake Shack,"(40.6437718, -74.0758827)",Weekday,Apple Pie,17
Shake Shack,"(40.6437718, -74.0758827)",Weekday,Burgers,16
Shake Shack,"(40.6437718, -74.0758827)",Weekday,French Fries,13
Shake Shack,"(40.6437718, -74.0758827)",Weekday,Buffalo Chicken Wings,14
Bareburger,"(40.7216328, -73.9885495)",Weekday,Pizza,17
Bareburger,"(40.7216328, -73.9885495)",Weekday,Burgers,16
Shake Shack,"(40.6437718, -74.0758827)",Weekday,Chicken Tenders,18
Shake Shack,"(40.6437718, -74.0758827)",Weekday,French Fries,15
Shake Shack,"(40.6437718, -74.0758827)",Weekday,Burgers,14
Shake Shack,"(40.6437718, -74.0758827)",Weekday,Hot Dogs,12
Sarabeth's Restaurant,"(40.7652199, -73.9755591)",Weekend,French Fries,14
Sarabeth's Restaurant,"(40.7652199, -73.9755591)",Weekend,Hot Dogs,12
Han Dynasty,"(40.7875393, -73.9764459)",Weekend,Dumplings,13
Han Dynasty,"(40.7875393, -73.9764459)",Weekend,Sweet and Sour Pork Fillet,12
Sushi of Gari Tribeca,"(40.7167674, -74.0084565)",Weekday,Sashimi,19
Sushi of Gari Tribeca,"(40.7167674, -74.0084565)",Weekday,Tempura,15
J. G. Melon,"(40.771073, -73.9593705)",Weekday,Apple Pie,18
J. G. Melon,"(40.771073, -73.9593705)",Weekday,Hot Dogs,12
Shake Shack,"(40.6437718, -74.0758827)",Weekday,Barbecue Ribs,19
Shake Shack,"(40.6437718, -74.0758827)",Weekday,Hot Dogs,12
Parm,"(40.7230381, -73.9957182)",Weekend,Rigatoni all'Amatriciana,20
Parm,"(40.7230381, -73.9957182)",Weekend,Arancini,13
Cafe Mogador,"(40.7273469, -73.984402)",Weekend,Jewelled rice,18
Cafe Mogador,"(40.7273469, -73.984402)",Weekend,Hummus,13
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Sweet and Sour Pork Fillet,12
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Sweet and Sour Pork Fillet,12
Shake Shack,"(40.6437718, -74.0758827)",Weekend,Apple Pie,15
Shake Shack,"(40.6437718, -74.0758827)",Weekend,Barbecue Ribs,19
Jack's Wife Freda,"(40.7298568, -74.0035384)",Weekday,Mediterranean White Bean Soup,18
Jack's Wife Freda,"(40.7298568, -74.0035384)",Weekday,Greek Salad,13
Cafe Habana,"(40.7228449, -73.9942284)",Weekday,Tamales,18
Cafe Habana,"(40.7228449, -73.9942284)",Weekday,Guacamole,12
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekend,Peking Roasted Duck,19
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekend,Sweet and Sour Pork Fillet,12
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Tater Tots,12
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Hot Dogs,12
J. G. Melon,"(40.771073, -73.9593705)",Weekend,Burgers,17
J. G. Melon,"(40.771073, -73.9593705)",Weekend,Hot Dogs,12
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekday,Sashimi,20
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekday,Ichiju-ju,14
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,French Fries,19
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Hot Dogs,12
Shake Shack,"(40.6437718, -74.0758827)",Weekend,Tater Tots,10
Shake Shack,"(40.6437718, -74.0758827)",Weekend,Buffalo Chicken Wings,14
TAO,"(40.7625746, -73.9714449)",Weekend,Yakisoba (noodles saltati),19
TAO,"(40.7625746, -73.9714449)",Weekend,Nigiri,12
Parm,"(40.7230381, -73.9957182)",Weekend,Risotto,18
Parm,"(40.7230381, -73.9957182)",Weekend,Arancini,13
Sushi of Gari 46,"(40.7606902, -73.9895916)",Weekend,Kaiseki,20
Sushi of Gari 46,"(40.7606902, -73.9895916)",Weekend,Nigiri,12
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Tempura,16
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Tsukemono (sottaceti),16
Bareburger,"(40.7216328, -73.9885495)",Weekday,Hot Dogs,12
Bareburger,"(40.7216328, -73.9885495)",Weekday,Hot Dogs,12
Sushi of Gari 46,"(40.7606902, -73.9895916)",Weekend,Sashimi,19
Sushi of Gari 46,"(40.7606902, -73.9895916)",Weekend,Nigiri,12
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekday,Peking Roasted Duck,20
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekday,Sweet and Sour Pork Fillet,12
Shake Shack,"(40.6437718, -74.0758827)",Weekend,Tater Tots,14
Shake Shack,"(40.6437718, -74.0758827)",Weekend,Hot Dogs,12
Shake Shack,"(40.6437718, -74.0758827)",Weekend,Burgers,18
Shake Shack,"(40.6437718, -74.0758827)",Weekend,Hot Dogs,12
Han Dynasty,"(40.7875393, -73.9764459)",Weekend,Fish-Flavored Shredded Pork,13
Han Dynasty,"(40.7875393, -73.9764459)",Weekend,Fish-Flavored Shredded Pork,13
Westville Hudson,"(40.7272539, -74.0075081)",Weekend,French Fries,18
Westville Hudson,"(40.7272539, -74.0075081)",Weekend,Hot Dogs,12
Cafe Habana,"(40.7228449, -73.9942284)",Weekend,Guacamole,13
Cafe Habana,"(40.7228449, -73.9942284)",Weekend,Guacamole,12
Osteria Morini,"(40.7219323, -73.9976726)",Weekday,Risotto,19
Osteria Morini,"(40.7219323, -73.9976726)",Weekday,Arancini,13
Il Bambino,"(40.7629247, -73.9208479)",Weekend,Ragù Bolognese,19
Il Bambino,"(40.7629247, -73.9208479)",Weekend,Pasta alla Gricia,15
Parm,"(40.7230381, -73.9957182)",Weekend,Ragù Bolognese,19
Parm,"(40.7230381, -73.9957182)",Weekend,Arancini,13
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekday,Ichiju-ju,16
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekday,Nigiri,12
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Pizza,18
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Arancini,13
Parm,"(40.7230381, -73.9957182)",Weekend,Ragù Bolognese,17
Parm,"(40.7230381, -73.9957182)",Weekend,Arancini,13
Sushi of Gari Tribeca,"(40.7167674, -74.0084565)",Weekend,Ichiju-ju,14
Sushi of Gari Tribeca,"(40.7167674, -74.0084565)",Weekend,Nigiri,12
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Ossobuco,20
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Arancini,13
Shake Shack,"(40.6437718, -74.0758827)",Weekday,French Fries,16
Shake Shack,"(40.6437718, -74.0758827)",Weekday,Barbecue Ribs,19
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekend,Sweet and Sour Pork,13
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekend,Chow Mein,15
J. G. Melon,"(40.771073, -73.9593705)",Weekday,Reuben Sandwich,18
J. G. Melon,"(40.771073, -73.9593705)",Weekday,Hot Dogs,12
Sarabeth's Restaurant,"(40.7652199, -73.9755591)",Weekday,Apple Pie,11
Sarabeth's Restaurant,"(40.7652199, -73.9755591)",Weekday,Hot Dogs,12
Sushi of Gari 46,"(40.7606902, -73.9895916)",Weekend,Tsukemono (sottaceti),16
Sushi of Gari 46,"(40.7606902, -73.9895916)",Weekend,Tsukemono (sottaceti),16
The Meatball Shop,"(40.7651951, -73.9874674)",Weekday,Rigatoni all'Amatriciana,19
The Meatball Shop,"(40.7651951, -73.9874674)",Weekday,Pasta Carbonara,14
12 Chairs,"(40.7275501, -74.0024076)",Weekday,Roast Chicken with Sumac Flatbread (M’sakhan),20
12 Chairs,"(40.7275501, -74.0024076)",Weekday,Hummus,13
Rubirosa,"(40.7227225, -73.9961142)",Weekend,Lasagna,20
Rubirosa,"(40.7227225, -73.9961142)",Weekend,Arancini,13
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Tsukemono (sottaceti),18
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Yakisoba (noodles saltati),17
L'Express,"(40.7380991, -73.9876326)",Weekend,Ratatouille,13
L'Express,"(40.7380991, -73.9876326)",Weekend,Ratatouille,12
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekday,Kung Pao Chicken,20
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekday,Sweet and Sour Pork Fillet,12
P.J. Clarke's,"(40.7589826, -73.9682301)",Weekend,Reuben Sandwich,19
P.J. Clarke's,"(40.7589826, -73.9682301)",Weekend,Hot Dogs,12
Parm,"(40.7230381, -73.9957182)",Weekend,Ossobuco,15
Parm,"(40.7230381, -73.9957182)",Weekend,Rigatoni all'Amatriciana,18
Parm,"(40.7230381, -73.9957182)",Weekend,Ossobuco,17
Parm,"(40.7230381, -73.9957182)",Weekend,Arancini,13
Sushi of Gari 46,"(40.7606902, -73.9895916)",Weekend,Tempura,16
Sushi of Gari 46,"(40.7606902, -73.9895916)",Weekend,Tempura,15
Cho Dang Gol,"(40.7501714, -73.9863439)",Weekend,Tteokbokki,18
Cho Dang Gol,"(40.7501714, -73.9863439)",Weekend,Kimchi,12
El Parador Cafe,"(40.7444662, -73.9747193)",Weekend,Chiles en Nogada,20
El Parador Cafe,"(40.7444662, -73.9747193)",Weekend,Guacamole,12
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Hot Dogs,12
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Pizza,20
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Hot Dogs,12
TAO,"(40.7625746, -73.9714449)",Weekend,Ichiju-ju,13
TAO,"(40.7625746, -73.9714449)",Weekend,Sushi,18
Cafe Mogador,"(40.7273469, -73.984402)",Weekday,Persian Kuku Sabzi,17
Cafe Mogador,"(40.7273469, -73.984402)",Weekday,Hummus,13
Blue Ribbon Brooklyn,"(40.6249044, -73.962921)",Weekday,Burgers,18
Blue Ribbon Brooklyn,"(40.6249044, -73.962921)",Weekday,Buffalo Chicken Wings,14
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekend,Kung Pao Chicken,15
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekend,Sweet and Sour Pork Fillet,12
Bareburger,"(40.7216328, -73.9885495)",Weekend,Buffalo Chicken Wings,15
Bareburger,"(40.7216328, -73.9885495)",Weekend,Reuben Sandwich,17
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Lasagna,20
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Pasta alla Gricia,15
Rubirosa,"(40.7227225, -73.9961142)",Weekend,Lasagna,20
Rubirosa,"(40.7227225, -73.9961142)",Weekend,Pasta Carbonara,14
L'Express,"(40.7380991, -73.9876326)",Weekday,Flamiche,15
L'Express,"(40.7380991, -73.9876326)",Weekday,Chocolate soufflé,13
Parm,"(40.7230381, -73.9957182)",Weekday,Lasagna,20
Parm,"(40.7230381, -73.9957182)",Weekday,Arancini,13
Rubirosa,"(40.7227225, -73.9961142)",Weekend,Spaghetti con Salsa di Pomodoro,19
Rubirosa,"(40.7227225, -73.9961142)",Weekend,Arancini,13
Sushi of Gari 46,"(40.7606902, -73.9895916)",Weekend,Yakitori,16
Sushi of Gari 46,"(40.7606902, -73.9895916)",Weekend,Yakitori,13
Sarabeth's Restaurant,"(40.7652199, -73.9755591)",Weekend,Reuben Sandwich,18
Sarabeth's Restaurant,"(40.7652199, -73.9755591)",Weekend,Hot Dogs,12
Tamarind TriBeCa,"(40.7191453, -74.0089504)",Weekend,Lamb Saag,14
Tamarind TriBeCa,"(40.7191453, -74.0089504)",Weekend,Samosa,12
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Pizza,16
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Arancini,13
Shake Shack,"(40.6437718, -74.0758827)",Weekday,Barbecue Ribs,18
Shake Shack,"(40.6437718, -74.0758827)",Weekday,Hot Dogs,12
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Pizza,18
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Pasta Carbonara,14
Sushi of Gari 46,"(40.7606902, -73.9895916)",Weekend,Nigiri,10
Sushi of Gari 46,"(40.7606902, -73.9895916)",Weekend,Yakisoba (noodles saltati),17
Olea,"(40.6878089, -73.97061292171767)",Weekend,Mediterranean Grilled Chicken + Dill Greek Yogurt Sauce,20
Olea,"(40.6878089, -73.97061292171767)",Weekend,Greek Salad,13
Boqueria,"(40.77152, -73.9561132)",Weekend,Gazpacho,18
Boqueria,"(40.77152, -73.9561132)",Weekend,Pulpo a la Gallega,12
Parm,"(40.7230381, -73.9957182)",Weekend,Arancini,12
Parm,"(40.7230381, -73.9957182)",Weekend,Arancini,13
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Ragù Bolognese,17
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Arancini,13
Shake Shack,"(40.6437718, -74.0758827)",Weekend,Pizza,20
Shake Shack,"(40.6437718, -74.0758827)",Weekend,Hot Dogs,12
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Arancini,10
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Pizza,20
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Arancini,13
Rubirosa,"(40.7227225, -73.9961142)",Weekend,Rigatoni all'Amatriciana,16
Rubirosa,"(40.7227225, -73.9961142)",Weekend,Arancini,13
Boqueria,"(40.77152, -73.9561132)",Weekend,Pisto,20
Boqueria,"(40.77152, -73.9561132)",Weekend,Pulpo a la Gallega,12
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Rigatoni all'Amatriciana,20
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Pasta alla Gricia,15
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekday,Tater Tots,11
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekday,Pizza,20
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekday,Hot Dogs,12
Lucky Strike,"(40.761452750000004, -74.00096669089544)",Weekend,Apple Pie,14
Lucky Strike,"(40.761452750000004, -74.00096669089544)",Weekend,Hot Dogs,12
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekday,Kung Pao Chicken,18
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekday,Sweet and Sour Pork,14
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Yakisoba (noodles saltati),16
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Nigiri,12
Han Dynasty,"(40.7875393, -73.9764459)",Weekday,Chow Mein,14
Han Dynasty,"(40.7875393, -73.9764459)",Weekday,Sweet and Sour Pork Fillet,12
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekday,Tsukemono (sottaceti),16
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekday,Nigiri,12
The Meatball Shop,"(40.7651951, -73.9874674)",Weekday,Pasta alla Gricia,14
The Meatball Shop,"(40.7651951, -73.9874674)",Weekday,Ragù Bolognese,17
Rubirosa,"(40.7227225, -73.9961142)",Weekend,Lasagna,17
Rubirosa,"(40.7227225, -73.9961142)",Weekend,Arancini,13
Boqueria,"(40.77152, -73.9561132)",Weekend,Paella,20
Boqueria,"(40.77152, -73.9561132)",Weekend,Pulpo a la Gallega,12
Hatsuhana,"(40.7568939, -73.9769041)",Weekend,Nigiri,13
Hatsuhana,"(40.7568939, -73.9769041)",Weekend,Nigiri,12
Shake Shack,"(40.6437718, -74.0758827)",Weekend,Buffalo Chicken Wings,14
Shake Shack,"(40.6437718, -74.0758827)",Weekend,Hot Dogs,12
Carmine's,"(40.7575108, -73.9867126)",Weekend,Arancini,10
Carmine's,"(40.7575108, -73.9867126)",Weekend,Arancini,13
Paul & Jimmy's,"(40.7367294, -73.9873227)",Weekend,Pasta Carbonara,12
Paul & Jimmy's,"(40.7367294, -73.9873227)",Weekend,Pizza,20
Paul & Jimmy's,"(40.7367294, -73.9873227)",Weekend,Arancini,13
Shake Shack,"(40.6437718, -74.0758827)",Weekday,Hot Dogs,13
Shake Shack,"(40.6437718, -74.0758827)",Weekday,Pizza,20
Shake Shack,"(40.6437718, -74.0758827)",Weekday,Hot Dogs,12
TAO,"(40.7625746, -73.9714449)",Weekday,Nigiri,11
TAO,"(40.7625746, -73.9714449)",Weekday,Sushi,18
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Chow Mein,14
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Sweet and Sour Pork Fillet,12
Jack's Wife Freda,"(40.7298568, -74.0035384)",Weekend,Mediterranean Quinoa Salad,16
Jack's Wife Freda,"(40.7298568, -74.0035384)",Weekend,Greek Salad,13
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekday,Buffalo Chicken Wings,16
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekday,Reuben Sandwich,17
Shake Shack,"(40.6437718, -74.0758827)",Weekday,Hot Dogs,14
Shake Shack,"(40.6437718, -74.0758827)",Weekday,French Fries,15
Pylos,"(40.7261637, -73.9840813)",Weekday,Armenian Losh Kebab,20
Pylos,"(40.7261637, -73.9840813)",Weekday,Greek Salad,13
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Hot Dogs,13
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Hot Dogs,12
TAO,"(40.7625746, -73.9714449)",Weekend,Ichiju-ju,15
TAO,"(40.7625746, -73.9714449)",Weekend,Nigiri,12
TAO,"(40.7625746, -73.9714449)",Weekend,Ichiju-ju,17
TAO,"(40.7625746, -73.9714449)",Weekend,Nigiri,12
Tamarind TriBeCa,"(40.7191453, -74.0089504)",Weekend,Samosa,13
Tamarind TriBeCa,"(40.7191453, -74.0089504)",Weekend,Samosa,12
Momoya,"(40.7426475, -73.9964607)",Weekend,Nigiri,13
Momoya,"(40.7426475, -73.9964607)",Weekend,Yakitori,13
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Pasta alla Gricia,12
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Arancini,13
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Spaghetti con Salsa di Pomodoro,14
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Arancini,13
Momoya,"(40.7426475, -73.9964607)",Weekend,Nigiri,12
Momoya,"(40.7426475, -73.9964607)",Weekend,Ichiju-ju,14
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Spaghetti con Salsa di Pomodoro,16
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Arancini,13
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekday,Ichiju-ju,10
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekday,Nigiri,12
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekday,Peking Roasted Duck,20
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekday,Sweet and Sour Pork Fillet,12
The Meatball Shop,"(40.7651951, -73.9874674)",Weekday,Reuben Sandwich,15
The Meatball Shop,"(40.7651951, -73.9874674)",Weekday,Hot Dogs,12
Shake Shack,"(40.6437718, -74.0758827)",Weekday,Pizza,19
Shake Shack,"(40.6437718, -74.0758827)",Weekday,Hot Dogs,12
Dos Caminos,"(40.7558726, -73.9704163)",Weekend,Quesadillas,11
Dos Caminos,"(40.7558726, -73.9704163)",Weekend,Chiles Rellenos,20
Dos Caminos,"(40.7558726, -73.9704163)",Weekend,Guacamole,12
Sarabeth's Restaurant,"(40.7652199, -73.9755591)",Weekday,Pizza,18
Sarabeth's Restaurant,"(40.7652199, -73.9755591)",Weekday,Hot Dogs,12
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Buffalo Chicken Wings,15
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Tater Tots,13
Shake Shack,"(40.6437718, -74.0758827)",Weekday,Apple Pie,14
Shake Shack,"(40.6437718, -74.0758827)",Weekday,Pizza,20
Cho Dang Gol,"(40.7501714, -73.9863439)",Weekend,Samgyeopsal,17
Cho Dang Gol,"(40.7501714, -73.9863439)",Weekend,Kimchi,12
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Yangzhou Fried Rice,19
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Sweet and Sour Pork Fillet,12
V-Nam Cafe,"(40.7235492, -73.9880373)",Weekend,Chả giò,10
V-Nam Cafe,"(40.7235492, -73.9880373)",Weekend,Bánh cuốn,20
V-Nam Cafe,"(40.7235492, -73.9880373)",Weekend,Cà phê sữa đá,12
Shake Shack,"(40.6437718, -74.0758827)",Weekend,Pizza,20
Shake Shack,"(40.6437718, -74.0758827)",Weekend,Hot Dogs,12
Boqueria,"(40.77152, -73.9561132)",Weekend,Tarta de Santiago,20
Boqueria,"(40.77152, -73.9561132)",Weekend,Pulpo a la Gallega,12
Five Leaves,"(40.723735950000005, -73.95164194773636)",Weekend,Hot Dogs,15
Five Leaves,"(40.723735950000005, -73.95164194773636)",Weekend,Hot Dogs,12
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekend,Kaiseki,20
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekend,Nigiri,12
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Ragù Bolognese,15
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Pasta alla Gricia,15
Jack's Wife Freda,"(40.7298568, -74.0035384)",Weekend,Mediterranean Falafel Bowls,13
Jack's Wife Freda,"(40.7298568, -74.0035384)",Weekend,Mediterranean Grilled Chicken + Dill Greek Yogurt Sauce,20
Jack's Wife Freda,"(40.7298568, -74.0035384)",Weekend,Greek Salad,13
Tamarind TriBeCa,"(40.7191453, -74.0089504)",Weekend,Rogan Josh,17
Tamarind TriBeCa,"(40.7191453, -74.0089504)",Weekend,Dal,13
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Pasta Carbonara,11
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Ossobuco,19
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekday,Chow Mein,16
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekday,Fish-Flavored Shredded Pork,13
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekend,Sashimi,18
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekend,Yakitori,13
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekend,Kung Pao Chicken,17
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekend,Sweet and Sour Pork Fillet,12
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Sweet and Sour Pork,13
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Sweet and Sour Pork Fillet,12
Shake Shack,"(40.6437718, -74.0758827)",Weekend,Reuben Sandwich,15
Shake Shack,"(40.6437718, -74.0758827)",Weekend,Tater Tots,13
Bareburger,"(40.7216328, -73.9885495)",Weekend,Pizza,19
Bareburger,"(40.7216328, -73.9885495)",Weekend,Hot Dogs,12
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Lasagna,20
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Arancini,13
The Meatball Shop,"(40.7651951, -73.9874674)",Weekday,Arancini,14
The Meatball Shop,"(40.7651951, -73.9874674)",Weekday,Rigatoni all'Amatriciana,18
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Dumplings,18
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Sweet and Sour Pork Fillet,12
Momoya,"(40.7426475, -73.9964607)",Weekday,Miso Soup,13
Momoya,"(40.7426475, -73.9964607)",Weekday,Sashimi,19
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekday,Sushi,15
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekday,Kaiseki,20
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Kaiseki,17
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Sushi,18
S'MAC,"(40.7301897, -73.9836385)",Weekday,Tater Tots,13
S'MAC,"(40.7301897, -73.9836385)",Weekday,Pizza,20
S'MAC,"(40.7301897, -73.9836385)",Weekday,Hot Dogs,12
Rubirosa,"(40.7227225, -73.9961142)",Weekend,Pasta alla Gricia,13
Rubirosa,"(40.7227225, -73.9961142)",Weekend,Pizza,20
Boqueria,"(40.77152, -73.9561132)",Weekend,Paella,20
Boqueria,"(40.77152, -73.9561132)",Weekend,Pulpo a la Gallega,12
Delicatessen,"(40.6587771, -73.9819448)",Weekend,Pizza,20
Delicatessen,"(40.6587771, -73.9819448)",Weekend,Hot Dogs,12
12 Chairs,"(40.7275501, -74.0024076)",Weekend,Shawarma,15
12 Chairs,"(40.7275501, -74.0024076)",Weekend,Cauliflower Shawarma Berber,16
Bareburger,"(40.7216328, -73.9885495)",Weekend,Buffalo Chicken Wings,15
Bareburger,"(40.7216328, -73.9885495)",Weekend,Hot Dogs,12
Rubirosa,"(40.7227225, -73.9961142)",Weekend,Pasta alla Gricia,15
Rubirosa,"(40.7227225, -73.9961142)",Weekend,Pasta alla Gricia,15
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekend,Miso Soup,13
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekend,Nigiri,12
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Sushi,17
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Nigiri,12
Sushi of Gari,"(40.7713448, -73.95278)",Weekend,Tsukemono (sottaceti),16
Sushi of Gari,"(40.7713448, -73.95278)",Weekend,Tempura,15
Shake Shack,"(40.6437718, -74.0758827)",Weekend,Reuben Sandwich,19
Shake Shack,"(40.6437718, -74.0758827)",Weekend,Hot Dogs,12
Shake Shack,"(40.6437718, -74.0758827)",Weekday,Tater Tots,12
Shake Shack,"(40.6437718, -74.0758827)",Weekday,Hot Dogs,12
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Chicken Tenders,18
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Hot Dogs,12
Xi'an Famous Foods,"(40.6920975, -73.9866977)",Weekend,Fish-Flavored Shredded Pork,10
Xi'an Famous Foods,"(40.6920975, -73.9866977)",Weekend,Peking Roasted Duck,20
Xi'an Famous Foods,"(40.6920975, -73.9866977)",Weekend,Sweet and Sour Pork Fillet,12
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Pasta Carbonara,16
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Pasta Carbonara,14
P.J. Clarke's,"(40.7589826, -73.9682301)",Weekend,Burgers,14
P.J. Clarke's,"(40.7589826, -73.9682301)",Weekend,Hot Dogs,12
Shake Shack,"(40.6437718, -74.0758827)",Weekend,Chicken Tenders,17
Shake Shack,"(40.6437718, -74.0758827)",Weekend,Hot Dogs,12
